city,state,abb
Albertville,Alabama,AL
Athens,Alabama,AL
Birmingham,Alabama,AL
Calera,Alabama,AL
Chelsea,Alabama,AL
Daleville,Alabama,AL
Decatur,Alabama,AL
Dothan,Alabama,AL
Enterprise,Alabama,AL
Florence,Alabama,AL
Fultondale,Alabama,AL
Hoover,Alabama,AL
Huntsville,Alabama,AL
Jacksonville,Alabama,AL
McCalla,Alabama,AL
Mobile,Alabama,AL
Montgomery,Alabama,AL
Muscle Shoals,Alabama,AL
Northport,Alabama,AL
Opelika,Alabama,AL
Oxford,Alabama,AL
Pell City,Alabama,AL
Russellville,Alabama,AL
Tuscaloosa,Alabama,AL
Gainesville,Florida,FL
Jacksonville,Florida,FL
Ocala,Florida,FL
Orange Park,Florida,FL
St. Augustine,Florida,FL
Tallahassee,Florida,FL
Acworth,Georgia,GA
Adairsville,Georgia,GA
Athens,Georgia,GA
Atlanta,Georgia,GA
Augusta,Georgia,GA
Bogart,Georgia,GA
Braselton,Georgia,GA
Buford,Georgia,GA
Calhoun,Georgia,GA
Canton,Georgia,GA
Cartersville,Georgia,GA
Cedartown,Georgia,GA
Chatsworth,Georgia,GA
Cleveland,Georgia,GA
College Park,Georgia,GA
Columbus,Georgia,GA
Commerce,Georgia,GA
Conyers,Georgia,GA
Cornelia,Georgia,GA
Covington,Georgia,GA
Cumming,Georgia,GA
Dacula,Georgia,GA
Dalton,Georgia,GA
Dawsonville,Georgia,GA
Doraville,Georgia,GA
Duluth,Georgia,GA
Elberton,Georgia,GA
Evans,Georgia,GA
Fairburn,Georgia,GA
Fayetteville,Georgia,GA
Flowery Branch,Georgia,GA
Fort Oglethorpe,Georgia,GA
Gainesville,Georgia,GA
Griffin,Georgia,GA
Grovetown,Georgia,GA
Hartwell,Georgia,GA
Hinesville,Georgia,GA
Hiram,Georgia,GA
Jasper,Georgia,GA
Jefferson,Georgia,GA
Kennesaw,Georgia,GA
LaFayette,Georgia,GA
Lavonia,Georgia,GA
Lawrenceville,Georgia,GA
Lithia Springs,Georgia,GA
Lithonia,Georgia,GA
Locust Grove,Georgia,GA
Loganville,Georgia,GA
Macon,Georgia,GA
Madison,Georgia,GA
Marietta,Georgia,GA
Martinez,Georgia,GA
McDonough,Georgia,GA
Milledgeville,Georgia,GA
Monroe,Georgia,GA
Morrow,Georgia,GA
Newnan,Georgia,GA
Palmetto,Georgia,GA
Pooler,Georgia,GA
Port Wentworth,Georgia,GA
Ringgold,Georgia,GA
Riverdale,Georgia,GA
Rockmart,Georgia,GA
Rome,Georgia,GA
Royston,Georgia,GA
Savannah,Georgia,GA
Smyrna,Georgia,GA
Snellville,Georgia,GA
Stockbridge,Georgia,GA
Summerville,Georgia,GA
Temple,Georgia,GA
Thomson,Georgia,GA
Tifton,Georgia,GA
Toccoa,Georgia,GA
Tucker,Georgia,GA
Valdosta,Georgia,GA
Villa Rica,Georgia,GA
Warner Robins,Georgia,GA
Winder ,Georgia,GA
Woodstock,Georgia,GA
Bowling Green,Kentucky,KY
Corbin,Kentucky,KY
Frankfort,Kentucky,KY
Georgetown,Kentucky,KY
London,Kentucky,KY
Shelbyville,Kentucky,KY
Shepherdsville,Kentucky,KY
Versailles,Kentucky,KY
Hillcrest Heights,Maryland,KY
Landover,Maryland,KY
New Carrollton,Maryland,KY
Oxon Hill,Maryland,KY
Upper Marlboro,Maryland,KY
Aberdeen,North Carolina,NC
Advance,North Carolina,NC
Ahoskie,North Carolina,NC
Albemarle,North Carolina,NC
Apex,North Carolina,NC
Archdale,North Carolina,NC
Arden,North Carolina,NC
Asheboro,North Carolina,NC
Asheville,North Carolina,NC
Atlantic Beach,North Carolina,NC
Ayden,North Carolina,NC
Belmont,North Carolina,NC
Benson,North Carolina,NC
Beulaville,North Carolina,NC
Biscoe,North Carolina,NC
Boiling Springs,North Carolina,NC
Boone,North Carolina,NC
Brevard,North Carolina,NC
Bryson City,North Carolina,NC
Burgaw,North Carolina,NC
Burlington,North Carolina,NC
Cameron,North Carolina,NC
Candler,North Carolina,NC
Canton,North Carolina,NC
Carthage,North Carolina,NC
Cary,North Carolina,NC
Cedar Point,North Carolina,NC
Charlotte,North Carolina,NC
Cherryville,North Carolina,NC
China Grove,North Carolina,NC
Clayton,North Carolina,NC
Clemmons,North Carolina,NC
Clinton,North Carolina,NC
Columbus,North Carolina,NC
Concord,North Carolina,NC
Connelly Springs,North Carolina,NC
Conover,North Carolina,NC
Cornelius,North Carolina,NC
Creedmoor,North Carolina,NC
Dallas,North Carolina,NC
Denton,North Carolina,NC
Denver,North Carolina,NC
Dobson,North Carolina,NC
Dunn,North Carolina,NC
Durham,North Carolina,NC
Eden,North Carolina,NC
Elizabeth City,North Carolina,NC
Elizabethtown,North Carolina,NC
Farmville,North Carolina,NC
Fayetteville,North Carolina,NC
Flat Rock,North Carolina,NC
Forest City,North Carolina,NC
Franklin,North Carolina,NC
Fuquay Varina,North Carolina,NC
Garner,North Carolina,NC
Gastonia,North Carolina,NC
Goldsboro,North Carolina,NC
Graham,North Carolina,NC
Granite Falls,North Carolina,NC
Grantsboro,North Carolina,NC
Greensboro,North Carolina,NC
Greenville,North Carolina,NC
Hampstead,North Carolina,NC
Harrisburg,North Carolina,NC
Havelock,North Carolina,NC
Henderson,North Carolina,NC
Hendersonville,North Carolina,NC
Hickory,North Carolina,NC
High Point,North Carolina,NC
Hildebran,North Carolina,NC
Hillsborough,North Carolina,NC
Hope Mills,North Carolina,NC
Hudson,North Carolina,NC
Huntersville,North Carolina,NC
Indian Trail,North Carolina,NC
Jacksonville,North Carolina,NC
James City,North Carolina,NC
Jefferson,North Carolina,NC
Jonesville,North Carolina,NC
Kannapolis,North Carolina,NC
Kernersville,North Carolina,NC
King,North Carolina,NC
Kings Mountain,North Carolina,NC
Kinston,North Carolina,NC
Knightdale,North Carolina,NC
La Grange,North Carolina,NC
Laurinburg,North Carolina,NC
Leland,North Carolina,NC
Lenoir,North Carolina,NC
Lexington,North Carolina,NC
Lillington,North Carolina,NC
Lincolnton,North Carolina,NC
Locust,North Carolina,NC
Louisburg,North Carolina,NC
Lumberton,North Carolina,NC
Maiden,North Carolina,NC
Marion,North Carolina,NC
Mars Hill,North Carolina,NC
Marshville,North Carolina,NC
Matthews,North Carolina,NC
Mayodan,North Carolina,NC
Mebane,North Carolina,NC
Millers Creek,North Carolina,NC
Mills River,North Carolina,NC
Mint Hill,North Carolina,NC
Mocksville,North Carolina,NC
Monroe,North Carolina,NC
Mooresville,North Carolina,NC
Morehead City,North Carolina,NC
Morganton,North Carolina,NC
Morrisville,North Carolina,NC
Mount Airy,North Carolina,NC
Murphy,North Carolina,NC
Nashville,North Carolina,NC
New Bern,North Carolina,NC
Newport,North Carolina,NC
North Wilkesboro,North Carolina,NC
Norwood,North Carolina,NC
Oak Ridge,North Carolina,NC
Oxford,North Carolina,NC
Pembroke,North Carolina,NC
Pittsboro,North Carolina,NC
Plymouth,North Carolina,NC
Princeton,North Carolina,NC
Raeford,North Carolina,NC
Raleigh,North Carolina,NC
Ramseur,North Carolina,NC
Randleman,North Carolina,NC
Reidsville,North Carolina,NC
