,Word,Count,name
0,,328,Bojangles
1,bojangles,287,Bojangles
2,food,251,Bojangles
3,chicken,234,Bojangles
4,service,151,Bojangles
5,one,113,Bojangles
6,drive,112,Bojangles
7,get,106,Bojangles
8,good,105,Bojangles
9,order,103,Bojangles
10,biscuits,102,Bojangles
11,location,101,Bojangles
12,time,100,Bojangles
13,biscuit,95,Bojangles
14,place,87,Bojangles
15,it's,82,Bojangles
16,always,81,Bojangles
17,fast,80,Bojangles
18,like,73,Bojangles
19,go,70,Bojangles
20,i've,68,Bojangles
21,thru,66,Bojangles
22,love,62,Bojangles
23,went,62,Bojangles
24,great,61,Bojangles
25,never,59,Bojangles
26,breakfast,55,Bojangles
27,ordered,55,Bojangles
28,first,54,Bojangles
29,staff,52,Bojangles
30,got,51,Bojangles
31,ever,50,Bojangles
32,restaurant,49,Bojangles
33,minutes,49,Bojangles
34,fries,47,Bojangles
35,don't,46,Bojangles
36,best,46,Bojangles
37,i'm,46,Bojangles
38,friendly,45,Bojangles
39,really,45,Bojangles
40,know,44,Bojangles
41,worst,42,Bojangles
42,line,41,Bojangles
43,times,40,Bojangles
44,would,40,Bojangles
45,stopped,40,Bojangles
46,back,39,Bojangles
47,clean,39,Bojangles
48,fresh,39,Bojangles
49,every,39,Bojangles
50,hot,38,Bojangles
51,eat,38,Bojangles
52,two,36,Bojangles
53,fried,36,Bojangles
54,didn't,36,Bojangles
55,people,36,Bojangles
56,customer,35,Bojangles
57,sweet,35,Bojangles
58,cajun,35,Bojangles
59,bo,34,Bojangles
60,give,33,Bojangles
61,rude,33,Bojangles
62,even,33,Bojangles
63,slow,33,Bojangles
64,morning,32,Bojangles
65,say,32,Bojangles
66,home,32,Bojangles
67,way,32,Bojangles
68,bad,31,Bojangles
69,tea,31,Bojangles
70,inside,29,Bojangles
71,wait,29,Bojangles
72,last,28,Bojangles
73,experience,28,Bojangles
74,employees,28,Bojangles
75,nice,28,Bojangles
76,area,28,Bojangles
77,3,27,Bojangles
78,lunch,27,Bojangles
79,going,27,Bojangles
80,came,27,Bojangles
81,since,27,Bojangles
82,around,26,Bojangles
83,asked,26,Bojangles
84,today,26,Bojangles
85,cheese,26,Bojangles
86,took,26,Bojangles
87,come,26,Bojangles
88,made,26,Bojangles
89,dirty,25,Bojangles
90,wrong,25,Bojangles
91,waited,25,Bojangles
92,stop,25,Bojangles
93,south,25,Bojangles
94,terrible,24,Bojangles
95,family,24,Bojangles
96,years,24,Bojangles
97,us,24,Bojangles
98,visit,24,Bojangles
99,2,24,Bojangles
100,lady,23,Bojangles
101,pretty,23,Bojangles
102,long,23,Bojangles
103,old,23,Bojangles
104,could,22,Bojangles
105,horrible,22,Bojangles
106,cold,22,Bojangles
107,many,22,Bojangles
108,stars,22,Bojangles
109,filet,22,Bojangles
110,also,22,Bojangles
111,try,22,Bojangles
112,quick,22,Bojangles
113,far,21,Bojangles
114,&,21,Bojangles
115,right,20,Bojangles
116,new,20,Bojangles
117,wasn't,20,Bojangles
118,sausage,20,Bojangles
119,-,20,Bojangles
120,well,20,Bojangles
121,manager,20,Bojangles
122,piece,19,Bojangles
123,rice,19,Bojangles
124,day,19,Bojangles
125,wanted,19,Bojangles
126,tenders,19,Bojangles
127,store,19,Bojangles
128,decided,19,Bojangles
129,make,19,Bojangles
130,much,19,Bojangles
131,working,18,Bojangles
132,better,18,Bojangles
133,usually,18,Bojangles
134,little,18,Bojangles
135,orders,17,Bojangles
136,meal,17,Bojangles
137,window,17,Bojangles
138,several,17,Bojangles
139,sandwich,17,Bojangles
140,egg,17,Bojangles
141,chain,17,Bojangles
142,front,16,Bojangles
143,can't,16,Bojangles
144,gave,16,Bojangles
145,still,16,Bojangles
146,places,16,Bojangles
147,night,16,Bojangles
148,take,16,Bojangles
149,said,16,Bojangles
