,Word,Count,name
0,,685,Chick-fil-A
1,chick-fil-a,623,Chick-fil-A
2,food,594,Chick-fil-A
3,service,553,Chick-fil-A
4,always,459,Chick-fil-A
5,location,448,Chick-fil-A
6,great,283,Chick-fil-A
7,one,282,Chick-fil-A
8,chicken,281,Chick-fil-A
9,drive,280,Chick-fil-A
10,fast,269,Chick-fil-A
11,order,265,Chick-fil-A
12,chick,250,Chick-fil-A
13,fil,248,Chick-fil-A
14,love,233,Chick-fil-A
15,good,225,Chick-fil-A
16,get,217,Chick-fil-A
17,it's,217,Chick-fil-A
18,time,207,Chick-fil-A
19,friendly,193,Chick-fil-A
20,like,187,Chick-fil-A
21,staff,183,Chick-fil-A
22,i've,177,Chick-fil-A
23,go,174,Chick-fil-A
24,thru,174,Chick-fil-A
25,line,171,Chick-fil-A
26,place,165,Chick-fil-A
27,customer,159,Chick-fil-A
28,never,151,Chick-fil-A
29,ever,140,Chick-fil-A
30,ordered,129,Chick-fil-A
31,got,128,Chick-fil-A
32,best,127,Chick-fil-A
33,experience,119,Chick-fil-A
34,busy,118,Chick-fil-A
35,restaurant,117,Chick-fil-A
36,clean,116,Chick-fil-A
37,sandwich,114,Chick-fil-A
38,don't,114,Chick-fil-A
39,i'm,111,Chick-fil-A
40,cfa,108,Chick-fil-A
41,employees,107,Chick-fil-A
42,lunch,105,Chick-fil-A
43,long,104,Chick-fil-A
44,even,102,Chick-fil-A
45,today,100,Chick-fil-A
46,went,96,Chick-fil-A
47,fries,95,Chick-fil-A
48,worst,92,Chick-fil-A
49,breakfast,92,Chick-fil-A
50,every,91,Chick-fil-A
51,times,90,Chick-fil-A
52,really,87,Chick-fil-A
53,first,85,Chick-fil-A
54,super,85,Chick-fil-A
55,quick,82,Chick-fil-A
56,would,80,Chick-fil-A
57,well,79,Chick-fil-A
58,usually,78,Chick-fil-A
59,way,78,Chick-fil-A
60,eat,77,Chick-fil-A
61,review,77,Chick-fil-A
62,come,77,Chick-fil-A
63,people,75,Chick-fil-A
64,know,75,Chick-fil-A
65,nice,75,Chick-fil-A
66,around,73,Chick-fil-A
67,favorite,72,Chick-fil-A
68,came,72,Chick-fil-A
69,give,70,Chick-fil-A
70,minutes,70,Chick-fil-A
71,wrong,68,Chick-fil-A
72,wait,68,Chick-fil-A
73,inside,67,Chick-fil-A
74,didn't,64,Chick-fil-A
75,app,63,Chick-fil-A
76,mall,63,Chick-fil-A
77,since,63,Chick-fil-A
78,lot,62,Chick-fil-A
79,two,62,Chick-fil-A
80,fresh,61,Chick-fil-A
81,new,61,Chick-fil-A
82,back,60,Chick-fil-A
83,going,60,Chick-fil-A
84,day,60,Chick-fil-A
85,work,59,Chick-fil-A
86,say,59,Chick-fil-A
87,still,59,Chick-fil-A
88,-,58,Chick-fil-A
89,stopped,58,Chick-fil-A
90,make,58,Chick-fil-A
91,asked,57,Chick-fil-A
92,many,56,Chick-fil-A
93,pretty,56,Chick-fil-A
94,took,55,Chick-fil-A
95,bad,54,Chick-fil-A
96,quality,53,Chick-fil-A
97,orders,52,Chick-fil-A
98,locations,52,Chick-fil-A
99,right,52,Chick-fil-A
100,area,52,Chick-fil-A
101,nuggets,51,Chick-fil-A
102,hot,50,Chick-fil-A
103,could,49,Chick-fil-A
104,meal,49,Chick-fil-A
105,morning,48,Chick-fil-A
106,delicious,48,Chick-fil-A
107,little,47,Chick-fil-A
108,can't,47,Chick-fil-A
109,mobile,47,Chick-fil-A
110,excellent,46,Chick-fil-A
111,sure,46,Chick-fil-A
112,last,45,Chick-fil-A
113,parking,45,Chick-fil-A
114,much,45,Chick-fil-A
115,visit,45,Chick-fil-A
116,2,44,Chick-fil-A
117,slow,44,Chick-fil-A
118,however,44,Chick-fil-A
119,salad,44,Chick-fil-A
120,also,44,Chick-fil-A
121,menu,44,Chick-fil-A
122,chickfila,43,Chick-fil-A
123,everyone,42,Chick-fil-A
124,lines,42,Chick-fil-A
125,chic,41,Chick-fil-A
126,better,41,Chick-fil-A
127,stop,41,Chick-fil-A
128,stars,40,Chick-fil-A
129,need,40,Chick-fil-A
130,amazing,40,Chick-fil-A
131,kids,40,Chick-fil-A
132,awesome,40,Chick-fil-A
133,efficient,40,Chick-fil-A
134,waffle,39,Chick-fil-A
135,almost,39,Chick-fil-A
136,store,38,Chick-fil-A
137,&,38,Chick-fil-A
138,years,37,Chick-fil-A
139,waited,37,Chick-fil-A
140,take,37,Chick-fil-A
141,made,36,Chick-fil-A
142,think,36,Chick-fil-A
143,often,36,Chick-fil-A
144,rude,36,Chick-fil-A
145,chain,35,Chick-fil-A
146,something,35,Chick-fil-A
147,dining,35,Chick-fil-A
148,drive-thru,35,Chick-fil-A
149,far,35,Chick-fil-A
